"1005","6/7/2024","Plumbing for an addition","$3000","12340","11AM","4325"
"1000","10/11/2024","Hot Water Heater Replacement","$2000","12345","12PM","1234"
"1001","10/15/2024","Broken Pipe","$750","12346","10AM","4321"
"1002","10/2/2024","Clogged Sink","$250","12347","4PM","4322"
"1003","11/7/2024","Installation of Vanity","$1500","12348","10AM","4323"
"1004","6/27/2024","New piping","$2400","12349","11AM","4324"
"1007","8/15/2024","Hot Water Heater","$1200","54320","1PM","4327"
"1006","7/18/2024","Broken Pipe","$2300","54321","2PM","4326"
"1009","9/30/2024","Leaky faucet","$150","54328","11AM","4329"
"1008","9/10/2024","Leaky faucet and clogged sink","$850","54329","10AM","4328"
